family        pos   layer | ECI(9 enh pairs) ctrl-pairs  p(free) | var frac in fitted spelling / semantic subspace on held-out families (random-subspace null)
C_harmonic    final L20  | 0.62 (ctrl 0.54) p=0.901 | spelling 0.36 semantic 0.33 random 0.003 | ECI after removing spelling subspace 0.56
C_harmonic    final L25  | 0.63 (ctrl 0.55) p=0.895 | spelling 0.37 semantic 0.37 random 0.003 | ECI after removing spelling subspace 0.56
C_harmonic    final L26  | 0.62 (ctrl 0.57) p=0.896 | spelling 0.45 semantic 0.46 random 0.003 | ECI after removing spelling subspace 0.55
D_chord       final L6   | 0.64 (ctrl 0.62) p=0.930 | spelling 0.09 semantic 0.06 random 0.004 | ECI after removing spelling subspace 0.63
D_chord       final L13  | 0.64 (ctrl 0.58) p=0.917 | spelling 0.06 semantic 0.07 random 0.003 | ECI after removing spelling subspace 0.63
D_chord       final L20  | 0.66 (ctrl 0.61) p=0.948 | spelling 0.30 semantic 0.29 random 0.003 | ECI after removing spelling subspace 0.53
D_chord       final L25  | 0.63 (ctrl 0.59) p=0.914 | spelling 0.32 semantic 0.31 random 0.003 | ECI after removing spelling subspace 0.58
D_chord       final L26  | 0.61 (ctrl 0.59) p=0.874 | spelling 0.45 semantic 0.46 random 0.004 | ECI after removing spelling subspace 0.56
E_modulation  final L6   | 0.65 (ctrl 0.55) p=0.945 | spelling 0.27 semantic 0.24 random 0.004 | ECI after removing spelling subspace 0.61
E_modulation  final L13  | 0.61 (ctrl 0.56) p=0.875 | spelling 0.14 semantic 0.17 random 0.003 | ECI after removing spelling subspace 0.62
E_modulation  final L20  | 0.65 (ctrl 0.57) p=0.940 | spelling 0.50 semantic 0.52 random 0.004 | ECI after removing spelling subspace 0.49
E_modulation  final L25  | 0.66 (ctrl 0.58) p=0.943 | spelling 0.51 semantic 0.49 random 0.004 | ECI after removing spelling subspace 0.47
E_modulation  final L26  | 0.63 (ctrl 0.60) p=0.907 | spelling 0.59 semantic 0.58 random 0.004 | ECI after removing spelling subspace 0.54
F_generic     final L6   | 0.64 (ctrl 0.54) p=0.924 | spelling 0.25 semantic 0.24 random 0.003 | ECI after removing spelling subspace 0.60
F_generic     final L13  | 0.63 (ctrl 0.55) p=0.930 | spelling 0.11 semantic 0.11 random 0.003 | ECI after removing spelling subspace 0.62
F_generic     final L20  | 0.59 (ctrl 0.55) p=0.830 | spelling 0.23 semantic 0.23 random 0.003 | ECI after removing spelling subspace 0.59
F_generic     final L25  | 0.61 (ctrl 0.56) p=0.859 | spelling 0.16 semantic 0.16 random 0.004 | ECI after removing spelling subspace 0.58
F_generic     final L26  | 0.59 (ctrl 0.56) p=0.819 | spelling 0.32 semantic 0.31 random 0.003 | ECI after removing spelling subspace 0.58
