family        pos   layer | ECI(9 enh pairs) ctrl-pairs  p(free) | var frac in fitted spelling / semantic subspace on held-out families (random-subspace null)
A_spelling    last  L8   | 0.66 (ctrl 0.61) p=0.957 | spelling 0.62 semantic 0.54 random 0.002 | ECI after removing spelling subspace 0.05
A_spelling    last  L16  | 0.66 (ctrl 0.64) p=0.940 | spelling 0.63 semantic 0.57 random 0.002 | ECI after removing spelling subspace 0.14
A_spelling    last  L24  | 0.60 (ctrl 0.65) p=0.864 | spelling 0.61 semantic 0.54 random 0.002 | ECI after removing spelling subspace 0.04
A_spelling    last  L31  | 0.56 (ctrl 0.67) p=0.731 | spelling 0.60 semantic 0.53 random 0.002 | ECI after removing spelling subspace 0.07
A_spelling    last  L32  | 0.54 (ctrl 0.66) p=0.658 | spelling 0.61 semantic 0.56 random 0.002 | ECI after removing spelling subspace 0.08
B_enharmonic  last  L8   | 0.64 (ctrl 0.60) p=0.941 | spelling 0.63 semantic 0.51 random 0.002 | ECI after removing spelling subspace 0.06
B_enharmonic  last  L16  | 0.65 (ctrl 0.63) p=0.952 | spelling 0.65 semantic 0.55 random 0.002 | ECI after removing spelling subspace 0.18
B_enharmonic  last  L24  | 0.63 (ctrl 0.64) p=0.901 | spelling 0.63 semantic 0.54 random 0.002 | ECI after removing spelling subspace 0.10
B_enharmonic  last  L31  | 0.62 (ctrl 0.65) p=0.897 | spelling 0.61 semantic 0.51 random 0.002 | ECI after removing spelling subspace 0.17
B_enharmonic  last  L32  | 0.61 (ctrl 0.65) p=0.871 | spelling 0.62 semantic 0.52 random 0.002 | ECI after removing spelling subspace 0.18
C_harmonic    last  L8   | 0.67 (ctrl 0.61) p=0.962 | spelling 0.60 semantic 0.51 random 0.002 | ECI after removing spelling subspace 0.06
C_harmonic    last  L16  | 0.67 (ctrl 0.62) p=0.957 | spelling 0.64 semantic 0.55 random 0.002 | ECI after removing spelling subspace 0.16
C_harmonic    last  L24  | 0.71 (ctrl 0.64) p=0.990 | spelling 0.65 semantic 0.55 random 0.002 | ECI after removing spelling subspace 0.06
C_harmonic    last  L31  | 0.65 (ctrl 0.66) p=0.943 | spelling 0.63 semantic 0.54 random 0.002 | ECI after removing spelling subspace 0.09
C_harmonic    last  L32  | 0.64 (ctrl 0.66) p=0.930 | spelling 0.64 semantic 0.56 random 0.002 | ECI after removing spelling subspace 0.12
D_chord       last  L8   | 0.71 (ctrl 0.60) p=0.995 | spelling 0.65 semantic 0.51 random 0.002 | ECI after removing spelling subspace 0.04
D_chord       last  L16  | 0.67 (ctrl 0.63) p=0.962 | spelling 0.65 semantic 0.55 random 0.002 | ECI after removing spelling subspace 0.15
D_chord       last  L24  | 0.68 (ctrl 0.64) p=0.967 | spelling 0.63 semantic 0.53 random 0.002 | ECI after removing spelling subspace 0.04
D_chord       last  L31  | 0.64 (ctrl 0.67) p=0.935 | spelling 0.62 semantic 0.52 random 0.002 | ECI after removing spelling subspace 0.08
D_chord       last  L32  | 0.62 (ctrl 0.66) p=0.897 | spelling 0.63 semantic 0.55 random 0.002 | ECI after removing spelling subspace 0.10
E_modulation  last  L8   | 0.70 (ctrl 0.59) p=0.984 | spelling 0.64 semantic 0.48 random 0.002 | ECI after removing spelling subspace 0.06
E_modulation  last  L16  | 0.66 (ctrl 0.62) p=0.944 | spelling 0.65 semantic 0.52 random 0.002 | ECI after removing spelling subspace 0.16
E_modulation  last  L24  | 0.68 (ctrl 0.63) p=0.968 | spelling 0.64 semantic 0.52 random 0.002 | ECI after removing spelling subspace 0.08
E_modulation  last  L31  | 0.68 (ctrl 0.65) p=0.970 | spelling 0.63 semantic 0.51 random 0.002 | ECI after removing spelling subspace 0.15
E_modulation  last  L32  | 0.69 (ctrl 0.64) p=0.969 | spelling 0.65 semantic 0.53 random 0.002 | ECI after removing spelling subspace 0.17
F_generic     last  L8   | 0.70 (ctrl 0.57) p=0.979 | spelling 0.60 semantic 0.49 random 0.002 | ECI after removing spelling subspace 0.11
F_generic     last  L16  | 0.67 (ctrl 0.63) p=0.963 | spelling 0.59 semantic 0.50 random 0.002 | ECI after removing spelling subspace 0.24
F_generic     last  L24  | 0.64 (ctrl 0.64) p=0.931 | spelling 0.60 semantic 0.51 random 0.002 | ECI after removing spelling subspace 0.11
F_generic     last  L31  | 0.65 (ctrl 0.66) p=0.939 | spelling 0.60 semantic 0.50 random 0.002 | ECI after removing spelling subspace 0.17
F_generic     last  L32  | 0.66 (ctrl 0.65) p=0.947 | spelling 0.62 semantic 0.53 random 0.002 | ECI after removing spelling subspace 0.20
A_spelling    final L8   | 0.63 (ctrl 0.63) p=0.905 | spelling 0.30 semantic 0.27 random 0.002 | ECI after removing spelling subspace 0.57
A_spelling    final L16  | 0.59 (ctrl 0.59) p=0.830 | spelling 0.23 semantic 0.16 random 0.002 | ECI after removing spelling subspace 0.57
A_spelling    final L24  | 0.64 (ctrl 0.62) p=0.924 | spelling 0.33 semantic 0.33 random 0.002 | ECI after removing spelling subspace 0.46
