family        pos   layer | ECI(9 enh pairs) ctrl-pairs  p(free) | var frac in fitted spelling / semantic subspace on held-out families (random-subspace null)
A_spelling    final L31  | 0.63 (ctrl 0.60) p=0.915 | spelling 0.15 semantic 0.17 random 0.002 | ECI after removing spelling subspace 0.56
A_spelling    final L32  | 0.64 (ctrl 0.60) p=0.926 | spelling 0.15 semantic 0.16 random 0.002 | ECI after removing spelling subspace 0.56
B_enharmonic  final L8   | 0.62 (ctrl 0.63) p=0.902 | spelling 0.24 semantic 0.23 random 0.002 | ECI after removing spelling subspace 0.57
B_enharmonic  final L16  | 0.63 (ctrl 0.59) p=0.907 | spelling 0.20 semantic 0.17 random 0.002 | ECI after removing spelling subspace 0.60
B_enharmonic  final L24  | 0.59 (ctrl 0.61) p=0.824 | spelling 0.38 semantic 0.43 random 0.002 | ECI after removing spelling subspace 0.23
B_enharmonic  final L31  | 0.65 (ctrl 0.64) p=0.953 | spelling 0.24 semantic 0.26 random 0.002 | ECI after removing spelling subspace 0.44
B_enharmonic  final L32  | 0.65 (ctrl 0.64) p=0.930 | spelling 0.23 semantic 0.25 random 0.002 | ECI after removing spelling subspace 0.44
C_harmonic    final L8   | 0.60 (ctrl 0.62) p=0.855 | spelling 0.29 semantic 0.28 random 0.002 | ECI after removing spelling subspace 0.51
C_harmonic    final L16  | 0.63 (ctrl 0.62) p=0.904 | spelling 0.27 semantic 0.18 random 0.002 | ECI after removing spelling subspace 0.60
C_harmonic    final L24  | 0.65 (ctrl 0.64) p=0.943 | spelling 0.46 semantic 0.40 random 0.002 | ECI after removing spelling subspace 0.34
C_harmonic    final L31  | 0.68 (ctrl 0.65) p=0.978 | spelling 0.37 semantic 0.30 random 0.002 | ECI after removing spelling subspace 0.44
C_harmonic    final L32  | 0.67 (ctrl 0.64) p=0.969 | spelling 0.36 semantic 0.27 random 0.002 | ECI after removing spelling subspace 0.46
D_chord       final L8   | 0.66 (ctrl 0.62) p=0.955 | spelling 0.06 semantic 0.06 random 0.002 | ECI after removing spelling subspace 0.66
D_chord       final L16  | 0.65 (ctrl 0.61) p=0.935 | spelling 0.13 semantic 0.09 random 0.002 | ECI after removing spelling subspace 0.63
D_chord       final L24  | 0.65 (ctrl 0.63) p=0.940 | spelling 0.36 semantic 0.32 random 0.002 | ECI after removing spelling subspace 0.45
D_chord       final L31  | 0.68 (ctrl 0.61) p=0.967 | spelling 0.27 semantic 0.22 random 0.002 | ECI after removing spelling subspace 0.59
D_chord       final L32  | 0.66 (ctrl 0.62) p=0.957 | spelling 0.23 semantic 0.18 random 0.002 | ECI after removing spelling subspace 0.59
E_modulation  final L8   | 0.64 (ctrl 0.62) p=0.928 | spelling 0.12 semantic 0.10 random 0.002 | ECI after removing spelling subspace 0.62
E_modulation  final L16  | 0.61 (ctrl 0.60) p=0.885 | spelling 0.15 semantic 0.11 random 0.002 | ECI after removing spelling subspace 0.58
E_modulation  final L24  | 0.65 (ctrl 0.61) p=0.944 | spelling 0.42 semantic 0.36 random 0.002 | ECI after removing spelling subspace 0.41
E_modulation  final L31  | 0.71 (ctrl 0.62) p=0.990 | spelling 0.39 semantic 0.29 random 0.002 | ECI after removing spelling subspace 0.59
E_modulation  final L32  | 0.72 (ctrl 0.63) p=0.989 | spelling 0.36 semantic 0.25 random 0.002 | ECI after removing spelling subspace 0.58
F_generic     final L8   | 0.67 (ctrl 0.63) p=0.966 | spelling 0.11 semantic 0.10 random 0.002 | ECI after removing spelling subspace 0.65
F_generic     final L16  | 0.63 (ctrl 0.62) p=0.923 | spelling 0.04 semantic 0.03 random 0.002 | ECI after removing spelling subspace 0.63
F_generic     final L24  | 0.63 (ctrl 0.62) p=0.918 | spelling 0.08 semantic 0.08 random 0.002 | ECI after removing spelling subspace 0.62
F_generic     final L31  | 0.66 (ctrl 0.62) p=0.951 | spelling 0.08 semantic 0.07 random 0.002 | ECI after removing spelling subspace 0.65
F_generic     final L32  | 0.66 (ctrl 0.62) p=0.950 | spelling 0.09 semantic 0.08 random 0.002 | ECI after removing spelling subspace 0.65
