family        pos   layer | ECI(9 enh pairs) ctrl-pairs  p(free) | var frac in fitted spelling / semantic subspace on held-out families (random-subspace null)
C_harmonic    final L12  | 0.62 (ctrl 0.57) p=0.886 | spelling 0.30 semantic 0.26 random 0.004 | ECI after removing spelling subspace 0.50
C_harmonic    final L15  | 0.68 (ctrl 0.59) p=0.976 | spelling 0.44 semantic 0.40 random 0.004 | ECI after removing spelling subspace 0.34
C_harmonic    final L16  | 0.74 (ctrl 0.61) p=0.994 | spelling 0.51 semantic 0.48 random 0.004 | ECI after removing spelling subspace 0.34
D_chord       final L4   | 0.60 (ctrl 0.56) p=0.835 | spelling 0.03 semantic 0.03 random 0.004 | ECI after removing spelling subspace 0.59
D_chord       final L8   | 0.63 (ctrl 0.59) p=0.916 | spelling 0.04 semantic 0.04 random 0.004 | ECI after removing spelling subspace 0.62
D_chord       final L12  | 0.63 (ctrl 0.61) p=0.913 | spelling 0.19 semantic 0.16 random 0.004 | ECI after removing spelling subspace 0.62
D_chord       final L15  | 0.66 (ctrl 0.59) p=0.954 | spelling 0.37 semantic 0.35 random 0.004 | ECI after removing spelling subspace 0.46
D_chord       final L16  | 0.69 (ctrl 0.61) p=0.981 | spelling 0.49 semantic 0.47 random 0.004 | ECI after removing spelling subspace 0.51
E_modulation  final L4   | 0.63 (ctrl 0.60) p=0.912 | spelling 0.15 semantic 0.11 random 0.004 | ECI after removing spelling subspace 0.59
E_modulation  final L8   | 0.62 (ctrl 0.58) p=0.875 | spelling 0.10 semantic 0.09 random 0.004 | ECI after removing spelling subspace 0.58
E_modulation  final L12  | 0.66 (ctrl 0.58) p=0.953 | spelling 0.32 semantic 0.24 random 0.004 | ECI after removing spelling subspace 0.55
E_modulation  final L15  | 0.70 (ctrl 0.60) p=0.984 | spelling 0.49 semantic 0.41 random 0.004 | ECI after removing spelling subspace 0.35
E_modulation  final L16  | 0.70 (ctrl 0.60) p=0.979 | spelling 0.60 semantic 0.53 random 0.004 | ECI after removing spelling subspace 0.40
F_generic     final L4   | 0.62 (ctrl 0.57) p=0.904 | spelling 0.17 semantic 0.12 random 0.004 | ECI after removing spelling subspace 0.58
F_generic     final L8   | 0.63 (ctrl 0.57) p=0.901 | spelling 0.11 semantic 0.09 random 0.004 | ECI after removing spelling subspace 0.60
F_generic     final L12  | 0.61 (ctrl 0.58) p=0.874 | spelling 0.11 semantic 0.09 random 0.004 | ECI after removing spelling subspace 0.59
F_generic     final L15  | 0.58 (ctrl 0.61) p=0.785 | spelling 0.15 semantic 0.15 random 0.004 | ECI after removing spelling subspace 0.53
F_generic     final L16  | 0.60 (ctrl 0.61) p=0.840 | spelling 0.28 semantic 0.28 random 0.004 | ECI after removing spelling subspace 0.55
