Phase-V v4 cross-corpus specificity (spelled view)
schema=phase5-crosscorpus-v4.1; feature_schema=phase5-theory-v4.1
grids: 4 corpora x one direct + 5 baselines; 36 cells/grid; 15 rows/cell

Direct versus five-seed size-matched Wikipedia baseline; specificity is direct row DeltaKL minus the mean baseline row DeltaKL.
corpus | model | family | extraction | direct residual_r(p) dkl(p) r2 | baseline dkl mean sd [min,max] sig/5 | row mean Wilcoxon-p
olmomix_dclm_big | gemma2_2b | E_modulation | D_doc | +0.4135(+0.0080) +0.041944(+0.0230) +0.141797 | +0.006654 0.002124 [+0.004904,+0.009698] 2/5 | +0.035290 p=0.0124512
olmomix_dclm_big | qwen25_3b | C_harmonic | A_win40 | +0.1282(+0.2494) +0.004926(+0.3928) +0.031519 | +0.003414 0.002020 [+0.000547,+0.006198] 0/5 | +0.001513 p=0.678772
olmomix_dclm_big | qwen25_3b | C_harmonic | B_any | +0.0796(+0.2959) +0.004253(+0.3203) +0.008561 | +0.000054 0.001280 [-0.001108,+0.002111] 0/5 | +0.004199 p=0.599487
olmomix_dclm_big | qwen25_3b | C_harmonic | D_doc | +0.2569(+0.0860) +0.020106(+0.1604) +0.070896 | +0.003148 0.001921 [+0.001321,+0.005575] 0/5 | +0.016958 p=0.0180664
olmomix_dclm_big | qwen25_3b | D_chord | A_win40 | +0.1776(+0.1099) +0.003610(+0.1629) +0.037783 | -0.000255 0.001150 [-0.001611,+0.001506] 0/5 | +0.003865 p=0.151428
olmomix_dclm_big | qwen25_3b | D_chord | B_any | +0.1231(+0.1384) +0.002061(+0.1769) +0.024834 | -0.000296 0.001464 [-0.001613,+0.002221] 0/5 | +0.002357 p=0.678772
olmomix_dclm_big | qwen25_3b | D_chord | D_doc | +0.1470(+0.1649) +0.005905(+0.1074) +0.021673 | -0.002006 0.001255 [-0.003275,-0.000247] 0/5 | +0.007911 p=0.0637207
olmomix_dclm_big | qwen25_3b | E_modulation | A_win40 | +0.1767(+0.1574) +0.006896(+0.2894) +0.023210 | -0.000683 0.000265 [-0.001008,-0.000410] 0/5 | +0.007579 p=0.0412598
olmomix_dclm_big | qwen25_3b | E_modulation | B_any | +0.0819(+0.2779) +0.001452(+0.4533) +0.001476 | -0.000602 0.000255 [-0.000948,-0.000333] 0/5 | +0.002054 p=0.803955
olmomix_dclm_big | qwen25_3b | E_modulation | D_doc | +0.2791(+0.0615) +0.023253(+0.0910) +0.055175 | +0.001178 0.000724 [+0.000052,+0.001936] 0/5 | +0.022075 p=0.00427246
olmomix_dclm_big | olmo2_7b | C_harmonic | A_win40 | +0.0204(+0.4198) +0.005046(+0.3793) +0.007572 | -0.004067 0.001714 [-0.006064,-0.001966] 0/5 | +0.009112 p=0.0479126
olmomix_dclm_big | olmo2_7b | C_harmonic | B_any | +0.0623(+0.3058) -0.004340(+0.9190) +0.002151 | -0.003428 0.001780 [-0.005397,-0.001454] 0/5 | -0.000912 p=0.977966
olmomix_dclm_big | olmo2_7b | C_harmonic | D_doc | +0.1956(+0.1419) +0.016266(+0.1494) +0.039390 | -0.001662 0.006285 [-0.011004,+0.006286] 0/5 | +0.017928 p=0.187622
olmomix_dclm_big | olmo2_7b | D_chord | A_win40 | +0.1613(+0.1139) +0.001812(+0.3923) +0.025962 | -0.000244 0.000658 [-0.001259,+0.000493] 0/5 | +0.002056 p=0.524475
olmomix_dclm_big | olmo2_7b | D_chord | B_any | +0.0956(+0.1974) -0.006311(+0.9265) +0.006517 | -0.002497 0.001859 [-0.005398,-0.000637] 0/5 | -0.003814 p=1
olmomix_dclm_big | olmo2_7b | D_chord | D_doc | +0.1739(+0.1079) +0.005859(+0.2404) +0.019356 | -0.003278 0.004839 [-0.011225,+0.000979] 0/5 | +0.009137 p=0.524475
olmomix_dclm_big | olmo2_7b | E_modulation | A_win40 | +0.1887(+0.1149) +0.005939(+0.1889) +0.052279 | +0.003355 0.000844 [+0.002138,+0.004148] 2/5 | +0.002584 p=0.561401
olmomix_dclm_big | olmo2_7b | E_modulation | B_any | +0.0544(+0.3233) +0.000811(+0.4243) -0.001511 | +0.000346 0.001008 [-0.001044,+0.001389] 0/5 | +0.000465 p=0.761536
olmomix_dclm_big | olmo2_7b | E_modulation | D_doc | +0.3526(+0.0115) +0.017853(+0.0530) +0.119345 | +0.001502 0.003205 [-0.003442,+0.004657] 1/5 | +0.016351 p=0.072998

Difference-in-differences: mean OLMo row difference minus mean Gemma/Qwen row difference; paired two-sided Wilcoxon over rows.
corpus | family | extraction | DiD mean | Wilcoxon statistic | p
olmomix_wiki | C_harmonic | A_win40 | +0.005198 | 34 | 0.151428
olmomix_wiki | C_harmonic | B_any | +0.004836 | 38 | 0.229309
olmomix_wiki | C_harmonic | D_doc | +0.003075 | 39 | 0.25238
olmomix_wiki | D_chord | A_win40 | +0.000928 | 50 | 0.599487
olmomix_wiki | D_chord | B_any | -0.000968 | 51 | 0.638672
olmomix_wiki | D_chord | D_doc | +0.001211 | 59 | 0.977966
olmomix_wiki | E_modulation | A_win40 | -0.001608 | 55 | 0.803955
olmomix_wiki | E_modulation | B_any | -0.000707 | 56 | 0.846924
olmomix_wiki | E_modulation | D_doc | -0.000119 | 51 | 0.638672
olmomix_dclm | C_harmonic | A_win40 | +0.000168 | 55 | 0.803955
olmomix_dclm | C_harmonic | B_any | +0.004249 | 45 | 0.421204
olmomix_dclm | C_harmonic | D_doc | -0.003676 | 56 | 0.846924
olmomix_dclm | D_chord | A_win40 | -0.003683 | 50 | 0.599487
olmomix_dclm | D_chord | B_any | +0.004445 | 51 | 0.638672
olmomix_dclm | D_chord | D_doc | -0.005464 | 38 | 0.229309
olmomix_dclm | E_modulation | A_win40 | +0.007170 | 13 | 0.00537109
olmomix_dclm | E_modulation | B_any | -0.000224 | 52 | 0.678772
olmomix_dclm | E_modulation | D_doc | -0.003618 | 28 | 0.072998
dolmino_dclm | C_harmonic | A_win40 | -0.006869 | 32 | 0.120544
dolmino_dclm | C_harmonic | B_any | +0.001305 | 51 | 0.638672
dolmino_dclm | C_harmonic | D_doc | -0.010574 | 37 | 0.207764
dolmino_dclm | D_chord | A_win40 | +0.007666 | 19 | 0.0180664
dolmino_dclm | D_chord | B_any | +0.003733 | 21 | 0.0255737
dolmino_dclm | D_chord | D_doc | -0.000858 | 54 | 0.761536
dolmino_dclm | E_modulation | A_win40 | -0.002657 | 29 | 0.083252
dolmino_dclm | E_modulation | B_any | -0.001706 | 31 | 0.106995
dolmino_dclm | E_modulation | D_doc | -0.007185 | 23 | 0.0353394
olmomix_dclm_big | C_harmonic | A_win40 | -0.002316 | 46 | 0.454285
olmomix_dclm_big | C_harmonic | B_any | -0.006213 | 40 | 0.276855
olmomix_dclm_big | C_harmonic | D_doc | -0.005975 | 34 | 0.151428
olmomix_dclm_big | D_chord | A_win40 | -0.002752 | 56 | 0.846924
olmomix_dclm_big | D_chord | B_any | -0.002874 | 55 | 0.803955
olmomix_dclm_big | D_chord | D_doc | -0.010568 | 8 | 0.00152588
olmomix_dclm_big | E_modulation | A_win40 | -0.004766 | 36 | 0.187622
olmomix_dclm_big | E_modulation | B_any | -0.002039 | 50 | 0.599487
olmomix_dclm_big | E_modulation | D_doc | -0.014061 | 5 | 0.000610352
