Phase-V v4 cross-corpus specificity (spelled view)
schema=phase5-crosscorpus-v4.1; feature_schema=phase5-theory-v4.1
grids: 4 corpora x one direct + 5 baselines; 36 cells/grid; 15 rows/cell

Direct versus five-seed size-matched Wikipedia baseline; specificity is direct row DeltaKL minus the mean baseline row DeltaKL.
corpus | model | family | extraction | direct residual_r(p) dkl(p) r2 | baseline dkl mean sd [min,max] sig/5 | row mean Wilcoxon-p
olmomix_wiki | qwen25_3b | E_modulation | B_any | -0.0602(+0.6832) -0.000418(+0.6572) -0.015537 | -0.000323 0.000397 [-0.000764,+0.000274] 0/5 | -0.000095 p=0.561401
olmomix_wiki | qwen25_3b | E_modulation | D_doc | +0.1410(+0.1674) +0.001241(+0.2654) +0.017434 | +0.000242 0.001405 [-0.001315,+0.001595] 0/5 | +0.000999 p=0.168823
olmomix_wiki | olmo2_7b | C_harmonic | A_win40 | +0.0632(+0.3103) +0.010602(+0.0985) +0.026284 | -0.002075 0.002566 [-0.005716,+0.001024] 0/5 | +0.012677 p=0.0553589
olmomix_wiki | olmo2_7b | C_harmonic | B_any | +0.0886(+0.2589) +0.006956(+0.1674) +0.021089 | -0.003949 0.001266 [-0.005578,-0.002335] 0/5 | +0.010905 p=0.207764
olmomix_wiki | olmo2_7b | C_harmonic | D_doc | +0.0985(+0.2849) +0.004906(+0.3198) +0.025694 | -0.001852 0.003304 [-0.005949,+0.003102] 0/5 | +0.006758 p=0.0412598
olmomix_wiki | olmo2_7b | D_chord | A_win40 | +0.0022(+0.4903) +0.003385(+0.2229) +0.001736 | -0.000254 0.002234 [-0.003504,+0.002510] 0/5 | +0.003639 p=0.421204
olmomix_wiki | olmo2_7b | D_chord | B_any | +0.0349(+0.3683) +0.002690(+0.2314) -0.005125 | -0.002336 0.001574 [-0.004544,-0.000793] 0/5 | +0.005026 p=0.488708
olmomix_wiki | olmo2_7b | D_chord | D_doc | -0.0163(+0.5232) +0.000927(+0.3978) +0.002049 | -0.001078 0.003108 [-0.004284,+0.003272] 0/5 | +0.002005 p=0.934082
olmomix_wiki | olmo2_7b | E_modulation | A_win40 | +0.2622(+0.0065) +0.008014(+0.0005) +0.152774 | +0.006614 0.001857 [+0.003612,+0.008215] 5/5 | +0.001400 p=0.302795
olmomix_wiki | olmo2_7b | E_modulation | B_any | +0.1879(+0.0340) +0.005126(+0.0035) +0.081038 | +0.002114 0.001113 [+0.000948,+0.003380] 2/5 | +0.003012 p=0.168823
olmomix_wiki | olmo2_7b | E_modulation | D_doc | +0.3822(+0.0005) +0.003351(+0.0440) +0.190375 | +0.004078 0.002530 [+0.000462,+0.007104] 3/5 | -0.000727 p=0.25238
olmomix_dclm | olmo2_1b | C_harmonic | A_win40 | +0.0492(+0.3723) +0.000286(+0.6032) -0.010620 | -0.001952 0.000996 [-0.003176,-0.000642] 0/5 | +0.002238 p=0.0946045
olmomix_dclm | olmo2_1b | C_harmonic | B_any | +0.0789(+0.2524) -0.001169(+0.7391) -0.003385 | -0.002184 0.002415 [-0.005552,+0.001066] 0/5 | +0.001015 p=0.421204
olmomix_dclm | olmo2_1b | C_harmonic | D_doc | +0.2013(+0.1024) +0.007974(+0.1514) +0.049051 | -0.001075 0.001174 [-0.002415,+0.000685] 0/5 | +0.009050 p=0.135376
olmomix_dclm | olmo2_1b | D_chord | A_win40 | -0.1423(+0.7826) -0.006784(+0.8666) +0.006581 | -0.001512 0.001761 [-0.003050,+0.001402] 0/5 | -0.005272 p=0.120544
olmomix_dclm | olmo2_1b | D_chord | B_any | -0.1479(+0.8716) -0.003027(+0.8506) +0.009805 | -0.001536 0.002052 [-0.005152,-0.000026] 0/5 | -0.001491 p=0.678772
olmomix_dclm | olmo2_1b | D_chord | D_doc | -0.0645(+0.6522) -0.005137(+0.8241) -0.002417 | -0.001201 0.001422 [-0.003564,-0.000107] 0/5 | -0.003936 p=0.0479126
olmomix_dclm | olmo2_1b | E_modulation | A_win40 | +0.1588(+0.1789) +0.010966(+0.1849) +0.023437 | +0.000968 0.000897 [-0.000175,+0.002302] 0/5 | +0.009999 p=0.00836182
olmomix_dclm | olmo2_1b | E_modulation | B_any | +0.0303(+0.3928) -0.002472(+0.8631) -0.009021 | -0.000403 0.000173 [-0.000627,-0.000156] 0/5 | -0.002069 p=0.0637207
olmomix_dclm | olmo2_1b | E_modulation | D_doc | +0.1846(+0.1384) +0.014662(+0.0825) +0.032535 | +0.000340 0.000629 [-0.000624,+0.001111] 0/5 | +0.014322 p=0.00335693
olmomix_dclm | gemma2_2b | C_harmonic | A_win40 | +0.1872(+0.1229) +0.012462(+0.2149) +0.014697 | -0.003181 0.001565 [-0.004729,-0.001175] 0/5 | +0.015643 p=0.0180664
olmomix_dclm | gemma2_2b | C_harmonic | B_any | +0.1720(+0.0720) +0.000206(+0.4908) +0.002992 | -0.002256 0.000825 [-0.002959,-0.000949] 0/5 | +0.002461 p=0.302795
olmomix_dclm | gemma2_2b | C_harmonic | D_doc | +0.2564(+0.0485) +0.026803(+0.0550) +0.068694 | +0.000162 0.002942 [-0.002056,+0.005269] 0/5 | +0.026641 p=0.083252
olmomix_dclm | gemma2_2b | D_chord | A_win40 | +0.0191(+0.4263) -0.002812(+0.9075) -0.010385 | -0.004483 0.002029 [-0.007861,-0.002745] 0/5 | +0.001671 p=0.207764
olmomix_dclm | gemma2_2b | D_chord | B_any | +0.0514(+0.3073) -0.004401(+0.9750) -0.017591 | -0.003168 0.000896 [-0.004153,-0.001972] 0/5 | -0.001233 p=0.977966
olmomix_dclm | gemma2_2b | D_chord | D_doc | +0.1336(+0.2019) +0.009834(+0.2284) +0.002501 | +0.000120 0.001334 [-0.001582,+0.002098] 0/5 | +0.009714 p=0.00537109
olmomix_dclm | gemma2_2b | E_modulation | A_win40 | +0.1296(+0.2439) +0.004812(+0.3733) +0.002309 | -0.002211 0.001499 [-0.003966,-0.000852] 0/5 | +0.007023 p=0.00427246
olmomix_dclm | gemma2_2b | E_modulation | B_any | +0.0822(+0.2429) -0.002622(+0.8581) -0.009241 | -0.001657 0.000764 [-0.002689,-0.000804] 0/5 | -0.000965 p=0.330261
olmomix_dclm | gemma2_2b | E_modulation | D_doc | +0.2911(+0.0380) +0.027149(+0.0230) +0.060733 | +0.002098 0.003017 [-0.001242,+0.005011] 0/5 | +0.025051 p=0.00836182
olmomix_dclm | qwen25_3b | C_harmonic | A_win40 | +0.0474(+0.4053) +0.005446(+0.3833) -0.002762 | +0.001006 0.003354 [-0.002997,+0.006028] 0/5 | +0.004440 p=0.330261
olmomix_dclm | qwen25_3b | C_harmonic | B_any | +0.0356(+0.3958) -0.001421(+0.7681) -0.008618 | -0.001202 0.001173 [-0.002775,+0.000496] 0/5 | -0.000220 p=0.761536
olmomix_dclm | qwen25_3b | C_harmonic | D_doc | +0.0762(+0.3278) +0.013046(+0.1584) +0.013204 | +0.000408 0.003285 [-0.002333,+0.005824] 0/5 | +0.012638 p=0.0479126
olmomix_dclm | qwen25_3b | D_chord | A_win40 | +0.1910(+0.1109) +0.007644(+0.0610) +0.027453 | -0.000031 0.001349 [-0.000929,+0.002302] 0/5 | +0.007675 p=0.0255737
olmomix_dclm | qwen25_3b | D_chord | B_any | +0.0790(+0.2434) +0.000568(+0.3073) -0.000965 | +0.002476 0.004027 [-0.001898,+0.007122] 0/5 | -0.001909 p=0.421204
olmomix_dclm | qwen25_3b | D_chord | D_doc | +0.0832(+0.2664) +0.004842(+0.0945) +0.003007 | -0.000655 0.001535 [-0.002881,+0.000884] 0/5 | +0.005498 p=0.0637207
olmomix_dclm | qwen25_3b | E_modulation | A_win40 | +0.0535(+0.3783) -0.000436(+0.6662) -0.012891 | -0.000886 0.000302 [-0.001194,-0.000460] 0/5 | +0.000451 p=0.187622
olmomix_dclm | qwen25_3b | E_modulation | B_any | +0.0371(+0.3643) -0.002234(+0.8221) -0.012447 | -0.000887 0.000209 [-0.001206,-0.000699] 0/5 | -0.001347 p=0.302795
olmomix_dclm | qwen25_3b | E_modulation | D_doc | +0.1369(+0.2064) +0.014118(+0.1104) +0.009296 | +0.000258 0.000817 [-0.000706,+0.001281] 0/5 | +0.013860 p=0.00671387
olmomix_dclm | olmo2_7b | C_harmonic | A_win40 | +0.1321(+0.2099) +0.015681(+0.1334) +0.032499 | -0.002500 0.006315 [-0.007252,+0.008606] 0/5 | +0.018180 p=0.106995
olmomix_dclm | olmo2_7b | C_harmonic | B_any | +0.1945(+0.0475) +0.005413(+0.1939) +0.016138 | -0.004311 0.001132 [-0.005746,-0.003087] 0/5 | +0.009724 p=0.389404
olmomix_dclm | olmo2_7b | C_harmonic | D_doc | +0.1891(+0.0920) +0.019921(+0.0560) +0.037035 | -0.002956 0.001323 [-0.004929,-0.001200] 0/5 | +0.022878 p=0.0946045
olmomix_dclm | olmo2_7b | D_chord | A_win40 | +0.1557(+0.1054) +0.005967(+0.2149) +0.014331 | -0.001285 0.000966 [-0.002458,+0.000101] 0/5 | +0.007252 p=0.0946045
olmomix_dclm | olmo2_7b | D_chord | B_any | +0.2106(+0.0170) +0.007122(+0.0850) +0.017892 | -0.000118 0.003437 [-0.003703,+0.005244] 0/5 | +0.007240 p=0.561401
olmomix_dclm | olmo2_7b | D_chord | D_doc | +0.1104(+0.1934) +0.005990(+0.1734) +0.009589 | -0.002229 0.002914 [-0.005907,+0.001888] 0/5 | +0.008219 p=0.302795
olmomix_dclm | olmo2_7b | E_modulation | A_win40 | +0.2149(+0.0955) +0.012223(+0.0475) +0.053284 | +0.000407 0.001303 [-0.001142,+0.001997] 0/5 | +0.011816 p=0.0215454
olmomix_dclm | olmo2_7b | E_modulation | B_any | +0.1159(+0.1584) -0.000754(+0.6072) -0.002751 | -0.000062 0.000826 [-0.000993,+0.000854] 0/5 | -0.000692 p=0.890381
