corpus,view,cell,metric,n_seeds,mean,sd,min,max,seed_artifacts
olmomix_wiki,spelled,gemma2_2b|C_harmonic|B_any,dcv,5,-0.000468864468864405,0.0034586203953279235,-0.005274725274725167,0.004102564102564266,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|C_harmonic|B_any,dcv_p,5,0.7332333833083459,0.1917365455680474,0.4817591204397801,0.9985007496251874,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|C_harmonic|B_any,r2gain,5,-0.010401565967013627,0.002284943266245695,-0.014442212015844058,-0.009041579834413671,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|C_harmonic|B_any,r2gain_p,5,0.9530234882558721,0.02119081963729553,0.9345327336331835,0.9895052473763118,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|C_harmonic|B_any,dkl,5,-0.0015498884562949872,0.0018809048420554433,-0.0037477006256612932,0.0008314115504021308,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|C_harmonic|B_any,dkl_p,5,0.6981509245377311,0.197905150917373,0.424287856071964,0.8960519740129935,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|C_harmonic|D_doc,resid_r,5,0.05193807439754059,0.05022876764710711,-0.02704888027911226,0.09178504209684055,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|C_harmonic|D_doc,resid_p,5,0.3796101949025487,0.1152206400136966,0.2863568215892054,0.5642178910544727,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|C_harmonic|D_doc,dcv,5,4.4408920985006264e-17,0.002173244977903554,-0.0026373626373626946,0.002051282051282244,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|C_harmonic|D_doc,dcv_p,5,0.7628185907046477,0.13636843110452962,0.5312343828085957,0.8850574712643678,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|C_harmonic|D_doc,r2gain,5,-0.01158739451943509,0.01093471420616896,-0.02640687213981785,0.0018880696547896036,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
olmomix_wiki,spelled,gemma2_2b|C_harmonic|D_doc,r2gain_p,5,0.8954522738630685,0.16745634166322332,0.6116941529235382,1.0,results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s1.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s2.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s3.json;results/phase5/fingerprint/wikipedia_thin_olmomix_wiki_v4_s4.json
