## qwen25_3b predicting position, context 'The piece modulates from {x} major to'
layer | RSA PMI  -fifths  block  common | partial fifths  chrom | circle|line  line|circle | P1 P5 raw | P1 P5 blackproj | iso7
    0 | +nan  +nan  +nan  +nan | +nan  +nan | +nan  +nan | nan nan | nan nan | nan
    6 | +0.14  +0.22  +0.35  +0.17 | +0.06  -0.05 | +0.05  -0.01 | 0.16 0.26 | 0.20 0.14 | 0.68
    8 | +0.23  +0.29  +0.51  +0.14 | +0.05  -0.13 | -0.00  +0.08 | 0.13 0.28 | 0.17 0.14 | 0.60
   10 | +0.32  +0.40  +0.50  +0.15 | +0.20  -0.11 | -0.05  +0.31 | 0.14 0.31 | 0.18 0.15 | 0.51
   12 | +0.36  +0.46  +0.46  +0.21 | +0.29  -0.10 | -0.07  +0.45 | 0.13 0.33 | 0.16 0.17 | 0.51
   14 | +0.34  +0.39  +0.45  +0.18 | +0.21  -0.13 | -0.03  +0.29 | 0.15 0.30 | 0.18 0.15 | 0.55
   16 | +0.34  +0.37  +0.51  +0.19 | +0.16  -0.10 | -0.06  +0.27 | 0.15 0.30 | 0.19 0.15 | 0.58
   18 | +0.37  +0.37  +0.56  +0.22 | +0.14  -0.10 | -0.05  +0.23 | 0.16 0.30 | 0.21 0.14 | 0.60
   20 | +0.40  +0.41  +0.57  +0.25 | +0.19  -0.12 | -0.03  +0.25 | 0.16 0.30 | 0.20 0.15 | 0.63
   22 | +0.41  +0.38  +0.58  +0.24 | +0.16  -0.15 | -0.06  +0.25 | 0.16 0.32 | 0.21 0.13 | 0.56
   24 | +0.42  +0.41  +0.56  +0.21 | +0.20  -0.14 | +0.02  +0.17 | 0.16 0.34 | 0.21 0.13 | 0.49
   26 | +0.41  +0.37  +0.55  +0.20 | +0.15  -0.10 | +0.03  +0.11 | 0.16 0.35 | 0.22 0.12 | 0.46
   28 | +0.39  +0.32  +0.52  +0.19 | +0.10  -0.06 | +0.02  +0.08 | 0.16 0.36 | 0.23 0.11 | 0.41
   30 | +0.39  +0.32  +0.49  +0.17 | +0.11  -0.07 | +0.01  +0.10 | 0.15 0.38 | 0.23 0.10 | 0.37
   32 | +0.39  +0.31  +0.52  +0.17 | +0.10  -0.03 | -0.03  +0.13 | 0.18 0.37 | 0.28 0.08 | 0.31
   34 | +0.42  +0.33  +0.57  +0.18 | +0.09  -0.03 | -0.08  +0.20 | 0.18 0.38 | 0.29 0.08 | 0.28
   36 | +0.41  +0.34  +0.56  +0.16 | +0.11  +0.01 | -0.06  +0.20 | 0.19 0.39 | 0.31 0.09 | 0.27
## qwen25_3b predicting position, context 'The first song on the album is in {x} major. The second song is in'
layer | RSA PMI  -fifths  block  common | partial fifths  chrom | circle|line  line|circle | P1 P5 raw | P1 P5 blackproj | iso7
    0 | +nan  +nan  +nan  +nan | +nan  +nan | +nan  +nan | nan nan | nan nan | nan
    2 | +0.37  +0.29  +0.55  +0.64 | +0.13  -0.00 | -0.02  +0.11 | 0.17 0.23 | 0.20 0.14 | 0.62
    4 | +0.27  +0.13  +0.52  +0.45 | -0.13  +0.00 | -0.22  +0.15 | 0.17 0.21 | 0.21 0.08 | 0.53
    6 | +0.34  +0.21  +0.59  +0.38 | -0.06  +0.09 | -0.17  +0.13 | 0.19 0.25 | 0.25 0.07 | 0.45
    8 | +0.34  +0.14  +0.52  +0.27 | -0.09  -0.30 | -0.23  +0.19 | 0.14 0.24 | 0.18 0.07 | 0.50
