/home/moloch/Documents/Research/pitch_fourier/scripts/multictx_analyze.py:45: RuntimeWarning: invalid value encountered in divide
  v = paired_vector(mode_energies(Havg)); p = v / v.sum()
/home/moloch/Documents/Research/pitch_fourier/scripts/multictx_analyze.py:46: RuntimeWarning: invalid value encountered in divide
  Hb = project_out(Havg, BLACK); vb = paired_vector(mode_energies(Hb)); pb = vb / vb.sum()
/home/moloch/Documents/Research/pitch_fourier/scripts/multictx_analyze.py:23: ConstantInputWarning: An input array is constant; the correlation coefficient is not defined.
  return float(spearmanr(G[u], C[u]).correlation)
/home/moloch/Documents/Research/pitch_fourier/pf/fourier.py:192: ConstantInputWarning: An input array is constant; the correlation coefficient is not defined.
  return float(spearmanr(D[iu], L[iu]).correlation)
## olmo2_7b major [anchor]  n_ctx=24
layer  P1    P5   | P1b   P5b  | iso7 | whiteRSA f/c  | GramRSA(z,p)  ctx mean±sd | GramRSA blackproj (z) | white-only
    0 nan nan | nan nan | nan | +nan +nan | +nan (+nan,0.000) +nan±nan | +nan (+nan) | +nan
   11 0.190 0.330 | 0.264 0.120 | 0.56 | +0.13 +0.41 | +0.724 (+5.9,0.000) +0.652±0.141 | +0.493 (+3.4) | +0.310
   12 0.184 0.338 | 0.258 0.123 | 0.56 | +0.10 +0.37 | +0.739 (+6.0,0.000) +0.658±0.149 | +0.505 (+3.5) | +0.275
   13 0.177 0.346 | 0.252 0.125 | 0.55 | +0.06 +0.24 | +0.742 (+6.1,0.000) +0.661±0.147 | +0.506 (+3.6) | +0.292
   14 0.180 0.342 | 0.256 0.120 | 0.54 | +0.20 +0.19 | +0.737 (+6.0,0.000) +0.662±0.143 | +0.506 (+3.4) | +0.248
   15 0.179 0.344 | 0.257 0.119 | 0.53 | +0.15 +0.08 | +0.739 (+6.2,0.000) +0.665±0.135 | +0.506 (+3.5) | +0.182
   16 0.171 0.354 | 0.252 0.121 | 0.52 | +0.09 -0.01 | +0.733 (+5.7,0.000) +0.671±0.128 | +0.491 (+3.5) | +0.116
   17 0.226 0.250 | 0.287 0.085 | 0.54 | +0.28 -0.11 | +0.629 (+4.8,0.000) +0.595±0.099 | +0.453 (+3.0) | +0.057
   18 0.204 0.268 | 0.265 0.086 | 0.53 | +0.44 +0.02 | +0.633 (+5.0,0.000) +0.605±0.087 | +0.422 (+2.6) | +0.329
   19 0.213 0.258 | 0.271 0.086 | 0.53 | +0.26 -0.20 | +0.619 (+5.0,0.000) +0.596±0.084 | +0.367 (+2.3) | +0.240
   20 0.217 0.245 | 0.272 0.085 | 0.55 | +0.30 -0.21 | +0.620 (+4.8,0.000) +0.589±0.080 | +0.379 (+2.5) | +0.125
   21 0.235 0.213 | 0.284 0.078 | 0.57 | +0.33 -0.30 | +0.573 (+4.4,0.000) +0.560±0.077 | +0.325 (+1.9) | +0.135
   22 0.237 0.202 | 0.280 0.077 | 0.58 | +0.27 -0.13 | +0.566 (+4.4,0.000) +0.550±0.083 | +0.372 (+2.3) | +0.275
   23 0.233 0.202 | 0.276 0.078 | 0.58 | +0.30 -0.17 | +0.580 (+4.6,0.000) +0.548±0.079 | +0.340 (+1.9) | +0.230
   24 0.231 0.198 | 0.271 0.080 | 0.60 | +0.44 -0.16 | +0.564 (+4.4,0.000) +0.539±0.078 | +0.351 (+2.0) | +0.252
   25 0.229 0.196 | 0.267 0.082 | 0.61 | +0.37 -0.21 | +0.553 (+4.4,0.000) +0.525±0.086 | +0.339 (+2.0) | +0.229
   26 0.228 0.189 | 0.262 0.081 | 0.63 | +0.64 -0.02 | +0.482 (+3.8,0.000) +0.485±0.085 | +0.313 (+1.8) | +0.414
   27 0.228 0.187 | 0.261 0.081 | 0.63 | +0.64 -0.02 | +0.473 (+3.7,0.001) +0.471±0.088 | +0.315 (+1.8) | +0.413
   28 0.224 0.190 | 0.257 0.084 | 0.63 | +0.66 -0.09 | +0.475 (+3.6,0.000) +0.464±0.084 | +0.311 (+1.7) | +0.482
   29 0.222 0.195 | 0.256 0.087 | 0.64 | +0.73 -0.02 | +0.485 (+3.7,0.000) +0.469±0.081 | +0.324 (+1.8) | +0.506
   30 0.214 0.202 | 0.248 0.092 | 0.65 | +0.78 +0.03 | +0.492 (+4.0,0.000) +0.458±0.077 | +0.338 (+2.2) | +0.552
   31 0.199 0.220 | 0.237 0.095 | 0.64 | +0.56 -0.08 | +0.551 (+4.1,0.000) +0.491±0.076 | +0.353 (+2.1) | +0.447
   32 0.195 0.226 | 0.235 0.098 | 0.65 | +0.46 -0.07 | +0.567 (+4.4,0.002) +0.490±0.078 | +0.382 (+2.3) | +0.492
## olmo2_7b minor [last]  n_ctx=24
layer  P1    P5   | P1b   P5b  | iso7 | whiteRSA f/c  | GramRSA(z,p)  ctx mean±sd | GramRSA blackproj (z) | white-only
    0 0.162 0.260 | 0.208 0.102 | 0.62 | +0.09 -0.28 | +0.515 (+5.0,0.000) +0.515±0.000 | +0.304 (+2.3) | -0.108
    1 0.152 0.286 | 0.202 0.110 | 0.60 | +0.05 -0.33 | +0.570 (+5.6,0.000) +0.566±0.011 | +0.323 (+2.3) | -0.197
    2 0.157 0.282 | 0.204 0.115 | 0.61 | -0.02 -0.31 | +0.561 (+5.2,0.000) +0.567±0.005 | +0.348 (+2.6) | -0.283
    3 0.158 0.288 | 0.207 0.117 | 0.60 | -0.09 -0.26 | +0.576 (+5.2,0.000) +0.593±0.013 | +0.337 (+2.4) | -0.256
    4 0.154 0.309 | 0.207 0.125 | 0.60 | +0.01 -0.10 | +0.630 (+5.6,0.001) +0.646±0.033 | +0.353 (+2.5) | -0.110
    5 0.150 0.327 | 0.204 0.133 | 0.60 | +0.09 +0.05 | +0.687 (+6.0,0.000) +0.696±0.039 | +0.411 (+3.0) | +0.091
    6 0.149 0.341 | 0.206 0.141 | 0.60 | +0.02 +0.18 | +0.723 (+6.2,0.000) +0.717±0.047 | +0.518 (+3.6) | +0.017
    7 0.144 0.369 | 0.204 0.152 | 0.59 | +0.18 +0.25 | +0.762 (+5.9,0.000) +0.741±0.061 | +0.566 (+4.2) | +0.253
    8 0.145 0.393 | 0.212 0.159 | 0.56 | +0.13 +0.48 | +0.778 (+6.5,0.000) +0.753±0.062 | +0.593 (+4.5) | +0.094
    9 0.143 0.400 | 0.211 0.159 | 0.55 | +0.11 +0.44 | +0.785 (+6.2,0.000) +0.755±0.063 | +0.602 (+4.4) | +0.136
   10 0.136 0.417 | 0.206 0.166 | 0.54 | +0.16 +0.43 | +0.796 (+6.4,0.000) +0.759±0.070 | +0.629 (+4.3) | +0.188
   11 0.132 0.426 | 0.201 0.174 | 0.54 | +0.13 +0.41 | +0.800 (+6.4,0.000) +0.759±0.078 | +0.609 (+4.5) | +0.221
   12 0.128 0.433 | 0.198 0.177 | 0.54 | +0.10 +0.37 | +0.794 (+6.4,0.000) +0.755±0.078 | +0.613 (+4.4) | +0.168
   13 0.123 0.442 | 0.194 0.180 | 0.53 | +0.06 +0.24 | +0.805 (+6.5,0.000) +0.757±0.079 | +0.614 (+4.2) | +0.203
   14 0.122 0.446 | 0.194 0.179 | 0.52 | +0.20 +0.19 | +0.812 (+6.6,0.000) +0.763±0.075 | +0.596 (+4.2) | +0.160
   15 0.120 0.452 | 0.195 0.178 | 0.51 | +0.15 +0.08 | +0.807 (+6.4,0.000) +0.763±0.069 | +0.590 (+4.2) | +0.087
   16 0.115 0.463 | 0.191 0.182 | 0.50 | +0.09 -0.01 | +0.787 (+6.2,0.000) +0.758±0.058 | +0.580 (+3.9) | +0.034
   17 0.144 0.396 | 0.219 0.150 | 0.52 | +0.28 -0.11 | +0.812 (+6.4,0.000) +0.770±0.059 | +0.533 (+3.6) | -0.010
   18 0.132 0.406 | 0.203 0.149 | 0.49 | +0.44 +0.02 | +0.791 (+6.3,0.000) +0.763±0.047 | +0.459 (+3.1) | +0.325
   19 0.136 0.398 | 0.206 0.151 | 0.51 | +0.26 -0.20 | +0.792 (+6.6,0.000) +0.764±0.053 | +0.430 (+2.9) | +0.157
   20 0.140 0.384 | 0.210 0.146 | 0.53 | +0.30 -0.21 | +0.788 (+6.3,0.000) +0.765±0.052 | +0.451 (+2.8) | +0.026
   21 0.155 0.353 | 0.221 0.137 | 0.55 | +0.33 -0.30 | +0.776 (+6.2,0.000) +0.762±0.056 | +0.447 (+3.0) | +0.058
   22 0.155 0.339 | 0.216 0.137 | 0.58 | +0.27 -0.13 | +0.773 (+6.0,0.000) +0.756±0.063 | +0.452 (+3.0) | +0.140
   23 0.155 0.339 | 0.215 0.137 | 0.58 | +0.30 -0.17 | +0.775 (+6.2,0.000) +0.761±0.065 | +0.431 (+2.9) | +0.083
   24 0.152 0.334 | 0.209 0.141 | 0.60 | +0.44 -0.16 | +0.776 (+6.2,0.000) +0.756±0.065 | +0.421 (+2.7) | +0.266
   25 0.152 0.329 | 0.206 0.143 | 0.62 | +0.37 -0.21 | +0.772 (+6.1,0.001) +0.750±0.071 | +0.423 (+2.6) | +0.248
   26 0.152 0.320 | 0.202 0.144 | 0.64 | +0.64 -0.02 | +0.766 (+6.0,0.000) +0.746±0.074 | +0.398 (+2.2) | +0.305
   27 0.152 0.316 | 0.201 0.145 | 0.65 | +0.64 -0.02 | +0.767 (+6.0,0.001) +0.740±0.081 | +0.402 (+2.4) | +0.343
   28 0.149 0.319 | 0.196 0.149 | 0.66 | +0.66 -0.09 | +0.764 (+6.0,0.000) +0.736±0.077 | +0.404 (+2.5) | +0.397
   29 0.145 0.328 | 0.193 0.154 | 0.66 | +0.73 -0.02 | +0.777 (+6.1,0.000) +0.737±0.073 | +0.412 (+2.6) | +0.391
   30 0.138 0.340 | 0.186 0.163 | 0.66 | +0.78 +0.03 | +0.779 (+6.0,0.000) +0.739±0.066 | +0.422 (+2.6) | +0.445
   31 0.124 0.366 | 0.175 0.165 | 0.59 | +0.56 -0.08 | +0.758 (+6.2,0.000) +0.735±0.047 | +0.435 (+2.8) | +0.319
   32 0.116 0.377 | 0.166 0.171 | 0.58 | +0.46 -0.07 | +0.754 (+6.2,0.000) +0.730±0.044 | +0.454 (+3.0) | +0.304
