/home/moloch/Documents/Research/pitch_fourier/scripts/multictx_analyze.py:45: RuntimeWarning: invalid value encountered in divide
  v = paired_vector(mode_energies(Havg)); p = v / v.sum()
/home/moloch/Documents/Research/pitch_fourier/scripts/multictx_analyze.py:46: RuntimeWarning: invalid value encountered in divide
  Hb = project_out(Havg, BLACK); vb = paired_vector(mode_energies(Hb)); pb = vb / vb.sum()
/home/moloch/Documents/Research/pitch_fourier/scripts/multictx_analyze.py:23: ConstantInputWarning: An input array is constant; the correlation coefficient is not defined.
  return float(spearmanr(G[u], C[u]).correlation)
/home/moloch/Documents/Research/pitch_fourier/pf/fourier.py:192: ConstantInputWarning: An input array is constant; the correlation coefficient is not defined.
  return float(spearmanr(D[iu], L[iu]).correlation)
## olmo2_7b major [anchor]  n_ctx=24
layer  P1    P5   | P1b   P5b  | iso7 | whiteRSA f/c  | GramRSA(z,p)  ctx mean±sd | GramRSA blackproj (z) | white-only
    0 nan nan | nan nan | nan | +nan +nan | +nan (+nan,0.000) +nan±nan | +nan (+nan) | +nan
layer  P1    P5   | P1b   P5b  | iso7 | whiteRSA f/c  | GramRSA(z,p)  ctx mean±sd | GramRSA blackproj (z) | white-only
    0 0.201 0.203 | 0.247 0.055 | 0.49 | +0.09 -0.28 | +0.251 (+3.0,0.007) +0.251±0.000 | +0.070 (-0.1) | +0.200
    1 0.199 0.210 | 0.248 0.057 | 0.49 | +0.05 -0.33 | +0.275 (+3.3,0.009) +0.277±0.005 | +0.056 (-0.2) | +0.181
    2 0.198 0.215 | 0.250 0.061 | 0.50 | -0.02 -0.31 | +0.300 (+3.5,0.008) +0.303±0.008 | +0.080 (-0.1) | +0.166
    3 0.199 0.218 | 0.251 0.062 | 0.51 | -0.09 -0.26 | +0.316 (+3.7,0.005) +0.316±0.015 | +0.088 (-0.1) | +0.118
    4 0.202 0.229 | 0.258 0.066 | 0.50 | +0.01 -0.10 | +0.348 (+3.5,0.004) +0.346±0.034 | +0.153 (+0.4) | +0.175
    5 0.201 0.241 | 0.262 0.070 | 0.50 | +0.09 +0.05 | +0.368 (+3.1,0.012) +0.372±0.056 | +0.198 (+0.8) | +0.229
    6 0.200 0.254 | 0.264 0.075 | 0.50 | +0.02 +0.18 | +0.389 (+3.6,0.004) +0.393±0.066 | +0.207 (+0.8) | +0.156
    7 0.199 0.270 | 0.270 0.078 | 0.49 | +0.18 +0.25 | +0.415 (+3.7,0.002) +0.410±0.097 | +0.224 (+1.0) | +0.158
    8 0.209 0.282 | 0.288 0.082 | 0.49 | +0.13 +0.48 | +0.454 (+3.9,0.001) +0.413±0.115 | +0.241 (+1.1) | +0.162
    9 0.207 0.289 | 0.289 0.082 | 0.48 | +0.11 +0.44 | +0.469 (+4.2,0.002) +0.417±0.129 | +0.235 (+1.1) | +0.192
   10 0.201 0.304 | 0.287 0.084 | 0.47 | +0.16 +0.43 | +0.506 (+4.5,0.000) +0.429±0.138 | +0.229 (+1.0) | +0.179
   11 0.195 0.318 | 0.284 0.088 | 0.46 | +0.13 +0.41 | +0.537 (+4.5,0.001) +0.446±0.148 | +0.246 (+1.2) | +0.252
   12 0.191 0.326 | 0.282 0.089 | 0.45 | +0.10 +0.37 | +0.552 (+4.4,0.001) +0.453±0.155 | +0.228 (+1.0) | +0.299
   13 0.186 0.340 | 0.283 0.089 | 0.44 | +0.06 +0.24 | +0.568 (+4.7,0.001) +0.469±0.149 | +0.248 (+1.2) | +0.309
