## olmo2_1b_bf16 major [anchor]  n_ctx=24
layer  P1    P5   | P1b   P5b  | iso7 | whiteRSA f/c  | GramRSA(z,p)  ctx mean±sd | GramRSA blackproj (z) | white-only
    2 0.186 0.231 | 0.233 0.095 | 0.64 | -0.16 -0.26 | +0.341 (+3.2,0.007) +0.349±0.013 | +0.230 (+0.8) | +0.123
    3 0.182 0.243 | 0.235 0.100 | 0.63 | +0.11 -0.08 | +0.354 (+3.1,0.007) +0.346±0.028 | +0.262 (+1.2) | +0.232
    4 0.181 0.254 | 0.239 0.104 | 0.61 | +0.12 +0.10 | +0.344 (+2.6,0.024) +0.329±0.042 | +0.298 (+1.5) | +0.299
    5 0.176 0.264 | 0.237 0.105 | 0.60 | +0.17 +0.16 | +0.331 (+2.7,0.020) +0.309±0.047 | +0.253 (+1.1) | +0.239
    6 0.173 0.268 | 0.237 0.104 | 0.58 | +0.08 +0.30 | +0.325 (+2.6,0.015) +0.299±0.056 | +0.226 (+0.9) | +0.282
    7 0.162 0.290 | 0.234 0.108 | 0.55 | +0.08 +0.34 | +0.354 (+2.8,0.011) +0.320±0.065 | +0.239 (+1.1) | +0.323
    8 0.159 0.291 | 0.232 0.105 | 0.53 | +0.13 +0.30 | +0.320 (+2.6,0.014) +0.290±0.075 | +0.252 (+1.2) | +0.403
    9 0.154 0.301 | 0.229 0.108 | 0.52 | +0.22 +0.35 | +0.335 (+2.8,0.009) +0.298±0.089 | +0.221 (+1.0) | +0.344
   10 0.147 0.319 | 0.227 0.107 | 0.49 | +0.11 +0.41 | +0.345 (+2.6,0.017) +0.323±0.091 | +0.227 (+1.0) | +0.409
   11 0.156 0.310 | 0.234 0.101 | 0.48 | +0.20 -0.19 | +0.350 (+2.7,0.015) +0.333±0.088 | +0.203 (+0.7) | +0.044
   12 0.179 0.282 | 0.242 0.095 | 0.50 | +0.12 -0.10 | +0.377 (+2.8,0.009) +0.354±0.081 | +0.125 (-0.1) | +0.338
   13 0.179 0.257 | 0.225 0.104 | 0.58 | +0.23 -0.08 | +0.389 (+3.0,0.004) +0.371±0.080 | +0.115 (-0.7) | +0.240
   14 0.179 0.247 | 0.222 0.110 | 0.63 | +0.28 -0.15 | +0.402 (+3.1,0.006) +0.362±0.097 | +0.170 (-0.4) | +0.321
   15 0.171 0.246 | 0.212 0.111 | 0.64 | +0.41 -0.09 | +0.337 (+2.5,0.011) +0.333±0.115 | +0.112 (-0.9) | +0.274
   16 0.139 0.256 | 0.183 0.114 | 0.58 | +0.21 -0.13 | +0.244 (+1.9,0.053) +0.264±0.131 | +0.065 (-0.6) | +0.171
## olmo2_1b_bf16 minor [anchor]  n_ctx=24
layer  P1    P5   | P1b   P5b  | iso7 | whiteRSA f/c  | GramRSA(z,p)  ctx mean±sd | GramRSA blackproj (z) | white-only
    0 nan nan | nan nan | nan | +nan +nan | +nan (+nan,0.000) +nan±nan | +nan (+nan) | +nan
